source,label,category,subscribers,total,available,stores
WHITE2115,WHITE 2115,rapper,50,20,2,"californiarecords.pl;sbmstore.pl;empik.com"
BEDOES,BEDOES,rapper,48,9,4,"sbmstore.pl;empik.com;sklep.2115.pl"
MATA_2040,MATA,rapper,44,39,29,"sbmstore.pl;empik.com;33mata.pl"
CHIVAS,CHIVAS,rapper,43,10,4,"empik.com;chivasio.shop"
TACO_HEMINGWAY,TACO HEMINGWAY,rapper,35,46,46,"empik.com;tacohemingway.store"
OKI_474747,OKI,rapper,30,20,7,"empik.com;474747.pl;reklamacja47.com"
SOBEL,SOBEL,rapper,27,29,13,"empik.com;musielismy.com;defjam.pl"
PRO8L3M,PRO8L3M,rapper,23,40,33,"empik.com;pro8l3m.pl"
YFL_MULTI,MULTI YFL,rapper,23,6,3,"empik.com;sklep.yfl.pl"
PEZET,PEZET,rapper,16,38,31,"empik.com;kokafeat.com;pezet.store;musicdrop.pl"
ZABSON,ŻABSON,rapper,15,10,4,"empik.com;internaziomale.com.pl"
KSIAZULO_MUALA,KSIĄŻULO MUALA,youtuber,13,29,0,mualasklep.pl
OTSOCHODZI,OTSOCHODZI,rapper,13,21,5,"empik.com;musicdrop.pl;asfaltshop.pl;riott.eu"
FAGATA,FAGATA,rapper,13,4,0,fagata.com
MODELKI,MODELKI,rapper,12,17,9,"empik.com;musicdrop.pl;islandrecords.pl"
GUGU_SZPAKU,SZPAKU,rapper,11,131,125,"empik.com;gugushop.pl"
KUKON,KUKON,rapper,10,5,3,empik.com
QUEBONAFIDE_POLNOC_POLUDNIE,QUEBONAFIDE,rapper,10,26,24,"empik.com;queshop.pl"
SENTINO,SENTINO,rapper,9,15,10,"empik.com;kingsento.pl;merchit.pl"
YOUNG_IGI,YOUNG IGI,rapper,8,12,10,"empik.com;defjam.pl"
DAWID_PODSIADLO,DAWID PODSIADŁO,musician,8,32,26,"empik.com;asfaltshop.pl;sklep.dawidpodsiadlo.pl;winylownia.pl"
NARKOPOP_KAZ_BALAGANE,KAZ BAŁAGANE,rapper,7,54,20,"empik.com;narkopop.store;fishntits.pl"
GM2L,GM2L MALIK MONTANA,rapper,7,35,13,"empik.com;merchit.pl"
SOKOL,SOKÓŁ,rapper,6,39,16,"empik.com;store.wojteksokol.com"
GRUBSON,GRUBSON,rapper,5,16,15,"empik.com;defjam.pl"
ROW_BABICZE,RÓW BABICZE,rapper,4,15,7,"empik.com;babiczecroydon.com"
BUNGEE,BUNGEE BANDURA DZINOLD,rapper,4,6,6,tubungee.pl
DOPEHOUSE_GIBBS,DOPEHOUSE GIBBS,rapper,4,94,91,"empik.com;dopehouse.pl"
PASHA_BICEPS,PASHA BICEPS,streamer,4,30,28,papitoenergy.com
SKOLIM,SKOLIM,musician,4,177,176,"empik.com;sklepskolim.pl"
BRAINDEADFAMILIA,SŁOŃ BRAIN DEAD FAMILIA,rapper,3,130,122,"empik.com;vulgarus.pl"
REZIGIUSZ,REZIGIUSZ THUNDERWEAR,youtuber,3,16,16,thunderwear.pl
KEKE,KĘKĘ,rapper,3,9,9,"empik.com;takierzeczy.com"
KIZO_MYTOSUKCES,KIZO,rapper,3,6,4,"empik.com;preorder.pl"
HUBERT,HUBERT.,musician,3,13,13,"empik.com;defjam.pl"
RETO_STYXXX,RETO,rapper,2,3,1,empik.com
OG_OLGIERD,OG OLGIERD,rapper,2,6,6,"empik.com;ogolgierd.pl"
BARTEK_HERMES_PATOLOGISTIC,PATOLOGISTIC BARTEK HERMES,tiktoker,2,2,0,patologistic.pl
BIALAS,BIAŁAS,rapper,2,19,11,"sbmstore.pl;empik.com"
KALI,KALI,rapper,2,41,37,"empik.com;hhsklep.pl"
SANAH,SANAH,musician,2,317,229,"empik.com;sanah.shop"
CZAJNIK,CZAJNIK,youtuber,2,38,36,friendzstore.pl
