domain,status,tech,products_mr,products_shopify,cdn,creators
empik.com,200,other,1024,,ecsmedia.pl,"WHITE 2115;BEDOES;MATA;CHIVAS;TACO HEMINGWAY;OKI;SOBEL;PRO8L3M;MULTI YFL;PEZET;ŻABSON;OTSOCHODZI;MODELKI;SZPAKU;KUKON;QUEBONAFIDE;SENTINO;YOUNG IGI;DAWID PODSIADŁO;KAZ BAŁAGANE;GM2L MALIK MONTANA;SOKÓŁ;GRUBSON;RÓW BABICZE;DOPEHOUSE GIBBS;SKOLIM;SŁOŃ BRAIN DEAD FAMILIA;KĘKĘ;KIZO;HUBERT.;RETO;OG OLGIERD;BIAŁAS;KALI;SANAH;SARIUS;DONGURALESKO;MAŁACH;MROZU;LORDOFON;JULIA WIENIAWA;CATCHUP;KAEN;ABRADAB;FROSTI;FUKAJ;JAMAL;CHADA;GEDZ;KUBAN;KUBI PRODUCENT;EKIPA;HEMP GRU;KALIBER 44;LADY PANK;YOUNG LEOSIA;BELMONDO;BONUS RPK CIEMNA STREFA;PAKTOFONIKA;PALUCH;ZBUKU;TEDE;KULT;RALPH KAMIŃSKI;RUFUZ;FLORAL BUGS;B.R.O;ZALEZY, WOJNA IDEI SZYMON PĘKALA;O.S.T.R.;DUDEK P56;MAŁPA;MAŁOLAT;MARGARET;MIETCZYŃSKI;MIĘTHA;MIOUSH;MR. POLSKA;PODCASTEX;POLSKA WERSJA;OPAŁ;PEJA;PIH;PIĘĆ DWA;ŁONA;SOBOTA;BRACIA FIGO FAGOT;ZALIA;KABE;KAZIK STASZEWSKI;DODA;DONATAN;EDZIO;ADI NOWAK;AVI;BETEO;KARTKY;KACPERCZYK;JACUŚ;JAN RAPOWANIE;JANUSZ WALCZUK;TRIBBS;TPS;TYMEK;VBS;VITO BAMBINO;DARIA ZAWIAŁOW;KINNY ZIMMER;CLEO;SZARAN;SZCZYL;SOLAR;JWP CREW;KUBAŃCZYK;SB MAFFIJA;SCHAFTER;JULIA ŻUGAJ;ELDO;ELEKTRYCZNE GITARY;WAIMA;HANS SOLO;ZENON MARTYNIUK;ZEAMSONE;SŁAWOMIR;CYBER MARIAN;PALION;PLANBE;TEN TYP MES;GUZIOR;SITEK;WEBBER;WERSOW;KWIAT JABŁONI;LOUIS VILLAIN"
sprecords.pl,200,prestashop,531,,sprecords.pl,"ABRADAB;KALIBER 44;KULT;BRACIA FIGO FAGOT;KAZIK STASZEWSKI;ELEKTRYCZNE GITARY"
7more7.com,403,other,483,,www.7more7.com,7MORE7
wojanshop.pl,429,shopify,383,,cdn.shopify.com,WOJAN
merchit.pl,200,shopify,308,500,cdn.shopify.com,"SENTINO;GM2L MALIK MONTANA;DONGURALESKO;KAEN;ABRADAB;FLORAL BUGS;B.R.O;O.S.T.R.;DIHO;MAŁPA;MIOUSH;MR. POLSKA;POLSKA WERSJA;OPAŁ;PEJA;PIĘĆ DWA;SOBOTA;AKASH;ALBERTO;TYMEK;VBS;ELDO;HANS SOLO;ZEAMSONE"
sanah.shop,429,shopify,302,,cdn.shopify.com,SANAH
csrpk.pl,200,prestashop,294,,csrpk.pl,BONUS RPK CIEMNA STREFA
wkdzik.pl,200,shoper,287,,wkdzik.pl,WK DZIK
sklepskolim.pl,200,shoper,175,,www.sklepskolim.pl,SKOLIM
palionstyle.pl,200,shoper,146,,palionstyle.pl,PALION
hempszop.pl,200,prestashop,143,,hempszop.pl,HEMP GRU
gugushop.pl,200,shopify,125,125,cdn.shopify.com,SZPAKU
vulgarus.pl,200,shoper,122,,vulgarus.pl,"SŁOŃ BRAIN DEAD FAMILIA;FLORAL BUGS"
pihszou.pl,200,wordpress,88,,pihszou.pl,PIH
dopehouse.pl,200,shoper,87,,dopehouse.pl,DOPEHOUSE GIBBS
sklepladypank.pl,200,shoper,85,,sklepladypank.pl,LADY PANK
luczekshop.pl,200,shoper,84,,luczekshop.pl,LUCZEK
sbmstore.pl,200,shoper,83,,sbmstore.pl,"WHITE 2115;BEDOES;MATA;BIAŁAS;MŁODY KORDEN;FUKAJ;ADI NOWAK;BETEO;KACPERCZYK;JACUŚ;JAN RAPOWANIE;JANUSZ WALCZUK;TOMB;KINNY ZIMMER;SZARAN;SOLAR;SB MAFFIJA"
asfaltshop.pl,200,other,81,,static.asfaltshop.pl,"OTSOCHODZI;DAWID PODSIADŁO;SARIUS;LORDOFON;BELMONDO;O.S.T.R.;MIĘTHA;SCHAFTER"
risky.pl,200,shoper,76,,risky.pl,ISAMU RISKY
ekipatonosi.pl,200,other,70,,ekipatonosi.pl,EKIPA
moontale.pl,200,prestashop,65,,www.moontale.pl,JULIA ŻUGAJ
teamkaluch.pl,200,other,58,,www.teamkaluch.pl,KALUCH
zenonmartyniuk.pl,200,prestashop,53,,zenonmartyniuk.pl,ZENON MARTYNIUK
wrrrah.myshopify.com,429,shopify,49,,cdn.shopify.com,HEWRA WRRRAH
zerosklep.pl,200,prestashop,48,,zerosklep.pl,KANAŁ ZERO
narkopop.store,200,wordpress,44,,narkopop.store,KAZ BAŁAGANE
defjam.pl,503,other,41,,defjam.pl,"SOBEL;YOUNG IGI;GRUBSON;HUBERT.;WAIMA"
crankall.com,429,shopify,39,,cdn.shopify.com,CRANK ALL
friendzstore.pl,429,shopify,38,,cdn.shopify.com,CZAJNIK
33mata.pl,200,shopify,33,33,cdn.shopify.com,MATA
pro8l3m.pl,200,wordpress,33,,pro8l3m.pl,PRO8L3M
musicdrop.pl,200,shopify,32,2750,cdn.shopify.com,"PEZET;OTSOCHODZI;MODELKI;MROZU;CATCHUP;ZALIA;DODA;VITO BAMBINO;ZEAMSONE"
store.wojteksokol.com,429,shopify,32,,cdn.shopify.com,SOKÓŁ
tsquad.pl,200,wordpress,32,,tsquad.pl,TRITSUS TSQUAD
papitoenergy.com,429,shopify,30,,cdn.shopify.com,PASHA BICEPS
mualasklep.pl,200,shopify,29,29,mualasklep.pl,KSIĄŻULO MUALA
polskirap.co,200,woocommerce,29,,polskirap.co,TEDE
tacohemingway.store,200,shopify,28,29,cdn.shopify.com,TACO HEMINGWAY
kokafeat.com,200,shoper,24,,kokafeat.com,PEZET
drstyle.pl,200,prestashop,24,,drstyle.pl,DOMINIK RUPIŃSKI
jwpcrew.pl,200,prestashop,24,,jwpcrew.pl,JWP CREW
pozdrawiam.net,200,wordpress,23,,pozdrawiam.net,PODCASTEX
znosne.pl,429,shopify,21,,cdn.shopify.com,KUBA KLAWITER ZNOSNE
berecords.pl,429,shopify,21,,cdn.shopify.com,YOUNG LEOSIA
queshop.pl,200,shoper,19,,queshop.pl,QUEBONAFIDE
zalezy.pl,200,shoper,19,,zalezy.pl,"ZALEZY, WOJNA IDEI SZYMON PĘKALA"
hasztasz.pl,200,other,19,,www.7more7.com,PAGO
nnjl.pl,429,shopify,17,,cdn.shopify.com,GEDZ
musielismy.com,200,shopify,16,16,cdn.shopify.com,SOBEL
thunderwear.pl,403,other,16,,www.7more7.com,REZIGIUSZ THUNDERWEAR
antihype.pl,503,other,16,,antihype.pl,SARIUS
horrecsklep.pl,200,other,15,,horrecsklep.pl,KLESZCZ
babiczecroydon.com,200,woocommerce,14,,www.babiczecroydon.com,RÓW BABICZE
303.com.pl,200,other,14,,303.com.pl,"MIETCZYŃSKI;CYBER MARIAN"
czucpiniadz.pl,200,wordpress,14,,czucpiniadz.pl,SŁAWOMIR
zalia.store,429,shopify,13,,cdn.shopify.com,ZALIA
474747.pl,200,shopify,12,12,474747.pl,OKI
islandrecords.pl,200,shopify,12,16,cdn.shopify.com,MODELKI
polskawersja.pl,200,shoper,12,,polskawersja.pl,POLSKA WERSJA
ojsklep.pl,200,woocommerce,12,,ojsklep.pl,OJ WOJTEK
brokies.store,200,shoper,12,,brokies.store,BROKIES
californiarecords.pl,200,shopify,11,11,cdn.shopify.com,WHITE 2115
hhsklep.pl,503,other,11,,hhsklep.pl,KALI
aurashop.pl,200,wordpress,11,,aurashop.pl,JELENIEWSKA
tilt.pl,429,shopify,11,,cdn.shopify.com,ROJO TILT
winylownia.pl,200,other,10,,winylownia.pl,"DAWID PODSIADŁO;LORDOFON"
akash.pl,200,shoper,9,,www.akash.pl,AKASH
pezet.store,200,shopify,8,8,cdn.shopify.com,PEZET
store.thetribbe.com,200,prestashop,8,,store.thetribbe.com,TRIBBS
chivasio.shop,200,shopify,7,7,cdn.shopify.com,CHIVAS
kingsento.pl,200,wordpress,7,,kingsento.pl,SENTINO
juliawieniawa.store,503,other,7,,juliawieniawa.store,JULIA WIENIAWA
internaziomale.com.pl,200,shopify,6,6,cdn.shopify.com,ŻABSON
